Codigo,CodCompra,RubroC,Item,Stock,Precio,PrecioCba,Marca,Precio5
5904,9427,BAZAR>ORGANIZADOR DE BAÑO>>,ACCESORIOS PARA BAÑO SET X 3 ACERO INOX,10,2714,1988.72,Publish,2645
1862,1862,BAZAR>BOMBILLA>>,BOMBILLA PARA MATE LARGA BASE OVALADA,84,161,69.17,Publish,92
1921,PV5,BAZAR>>>,BOMBILLA PARA MATE LARGA BASE RESORTE,0,187,88.16,Draft,118
3000,3000,BAZAR>>>,CEPILLO DE MANO P/ROPA C11476,0,369,225.14,Draft,300
3001,3001,BAZAR>>>,CEPILLO LIMPIA INODORO C/BASE C1846,0,7662,5708.74,Draft,7593
6071,21199709,BAZAR>CUBIERTO>EN KIT>,CUBIERTOS ESPAÑOL EN CAJA TRAMONTINA (X12),3,6205,5112.8,Publish,6136
6072,21199796,BAZAR>CUBIERTO>EN KIT>,CUBIERTOS JUMBO EN CAJA TRAMONTINA (X12),2,12451,10318.05,Publish,12382
6069,22299013,BAZAR>CUBIERTO>TENEDOR>,CUBIERTOS P/ASADOR X 2 TRADICIONAL TRAMONTINA,0,1825,1462.91,Draft,1756
6070,26499036,BAZAR>>>,CUBIERTOS P/ASADOR X 3 LARGO SKEWERS TRAMONTINA,0,5033,3731.83,Draft,4964
6063,23153900,BAZAR>CUBIERTO>CUCHARAS>,"CUCHARA 5"" BRISA TRAMONTINA (X12)",0,960,741.88,Draft,891
6055,22303900,BAZAR>CUBIERTO>CUCHARAS>,"CUCHARA DE MESA 5"" TRAMONTINA DYNAMIC  (X 12)",0,2522,2044.15,Draft,2453
6054,22303300,BAZAR>CUBIERTO>CUCHARAS>,"CUCHARA DE MESA 5"" TRAMONTINA DYNAMIC (X3)",0,615,454.73,Draft,546
6062,23153300,BAZAR>CUBIERTO>CUCHARAS>,"CUCHARA TRAMONTINA 5"" BRISA (X3) SOPERA",13,516,372.11,Publish,447
6057,22307900,BAZAR>>>,CUCHARA TRAMONTINA DYNAMIC (X 12) DE TE,6,1767,1305.59,Publish,1698
6064,23157300,BAZAR>CUBIERTO>CUCHARAS>,CUCHARITA BRISA DE TE TRAMONTINA (X3),0,209,116.08,Draft,140
6056,22307300,BAZAR>CUBIERTO>CUCHARAS>,CUCHARITA DYNAMIC DE TE TRAMONTINA (X3),0,418,290.65,Draft,349
6065,23157900,BAZAR>>>,CUCHARITA TE BLISTER X 12 BRISA TRAMONTINA,0,563,448.79,Draft,494
6066,21109074,BAZAR>CUBIERTO>CUCHILLO>,"CUCHILLO 4"" POLYWOOD ESPAÑOL TRAMONTINA (X12)",1,5267,4331.53,Publish,5198
6059,23150904,BAZAR>CUBIERTO>CUCHILLO>,"CUCHILLO 5"" BRISA TRAMONTINA (X12)",1,2399,1941.08,Publish,2330
6058,23150304,BAZAR>CUBIERTO>CUCHILLO>,"CUCHILLO 5"" BRISA TRAMONTINA (X3)",0,652,485.28,Draft,583
6067,21116075,BAZAR>CUBIERTO>CUCHILLO>,"CUCHILLO 5"" POLYWOOD JUMBO TRAMONTINA (X12)",2,9163,7578.12,Publish,9094
6051,22300905,BAZAR>CUBIERTO>CUCHILLO>,"CUCHILLO 5"" TRAMONTINA DYNAMIC (X12)",11,2399,1941.08,Publish,2330
6050,22300305,BAZAR>CUBIERTO>CUCHILLO>,"CUCHILLO 5"" TRAMONTINA DYNAMIC (X3)",0,543,394.57,Draft,474
6073,22902107,BAZAR>CUBIERTO>CUCHILLO>,"CUCHILLO 7"" UNIVERSAL AC. INOX. M/MAD. TRAMONTINA",0,598,440.31,Draft,529
6074,22921107,BAZAR>CUBIERTO>CUCHILLO>,"CUCHILLO 7"" UNIVERSAL AC. INOX. M/PLAST. TRAMONTIN",15,752,568.69,Publish,683
1904,1904,BAZAR>>>,"CUCHILLO PARA COCINA 08"" MANGO BLANCO RC8868",0,2034,1476.79,Draft,1965
1880,1880,BAZAR>>>,"CUCHILLO PARA COCINA 10"" MANGO BLANCO",0,1562,1121.9,Draft,1493
330,330,BAZAR>>>,"CUCHILLO PARA COCINA 12"" MANGO BLANCO RC88612",0,2465,1801.15,Draft,2396
904,904,BAZAR>>>,EMBUDO PLASTICO 150MM,0,238,127.01,Draft,169
1720,NEMB4,BAZAR>EMBUDO>>,EMBUDO PLASTICO JUEGO X4,42,359,217.64,Publish,290
2275,1569,BAZAR>JABONERAS>>,JABONERA DE METAL CROMADA,0,291,166.57,Publish,222
3004,EVOL1980,BAZAR>>>,LIMPIA VIDRIOS PLASTICO DE MANO,0,498,357.49,Draft,429
1435,1435,BAZAR>MATA MOSQUITOS>>,MATA MOSQUITOS PARA COLOCAR PASTILLAS C10094,41,726,493.63,Publish,657
1279,12221,BAZAR>ORGANIZADOR DE BAÑO>>,ORGANIZADOR PARA BAÑO DE 16X50X10CM,23,646,524.43,Publish,577
1406,9205,BAZAR>ORGANIZADOR DE BAÑO>>,ORGANIZADOR PARA BAÑO DE 25X45X9CM,11,721,592.05,Publish,652
3005,1429,BAZAR>MATA MOSQUITOS>>,PALETA MATA MOSCAS DE PLASTICO,0,128,44.04,Publish,59
7,D10486,BAZAR>>>,PELA PAPAS EN BLISTER,6,597,396.86,Draft,528
2866,2866,BAZAR>>>,PERCHA PLASTICA AUTOADESIVA JUEGO X 1 C10732,0,69,0,Draft,0
2284,2284,BAZAR>>>,PERCHA PLASTICA AUTOADESIVA JUEGO X 3 C10730,0,407,253.56,Draft,338
2050,2050,BAZAR>>>,PERCHA PLASTICA AUTOADESIVA JUEGO X 5 C10729,0,406,253.35,Draft,337
2312,7240,BAZAR>>>,PERCHERO COCINA 5 GANCHOS,0,638,427.39,Draft,569
467,467111,BAZAR>>>,PERCHERO DE METAL CROMADO 10 GANCHOS,0,958,667.8,Draft,889
3006,78615500,BAZAR>>>,PULVERIZADOR MOCHILA .5 L MANUAL TRAMONTINA,0,4759,3525.7,Draft,4690
6076,26010106,BAZAR>CUBIERTO>CUCHILLO>,"PUÑAL CON VAINA 6"" M/HUESO TRAMONTINA",2,3026,2463.81,Publish,2957
6077,26053106,BAZAR>CUBIERTO>CUCHILLO>,"PUÑAL PARA FILETEAR PESCA CON VAINA 6"" TRAMONTINA",2,1951,1567.74,Publish,1882
533,533,BAZAR>>>,SACACORCHOS Y DESTAPABOTELLA C12041,0,1968,1427.18,Draft,1899
2025,FVN,BAZAR>SOPAPA>>,"SOPAPA DE GOMA SIN CABO 4""",72,241,129.24,Publish,172
4059,SOPA-20,BAZAR>SOPAPA>>,"SOPAPA DE GOMA SIN CABO 5""",0,178,81.72,Publish,109
393,8212,BAZAR>SOPAPA>>,SOPAPA PARA VIDRIERO Y/O DESABOLLAR GRANDE,1,1256,892.3,Publish,1187
6068,21110070,BAZAR>CUBIERTO>TENEDOR>,"TENEDOR 4"" POLYWOOD JUMBO/ESPAÑOL TRAMONT (X12)",0,4584,3761.77,Draft,4515
6061,23152900,BAZAR>CUBIERTO>TENEDOR>,"TENEDOR 5"" BRISA TRAMONTINA (X12)",0,960,741.88,Draft,891
6060,23152300,BAZAR>CUBIERTO>TENEDOR>,"TENEDOR 5"" BRISA TRAMONTINA (X3)",7,760,575.35,Publish,691
6052,22302300,BAZAR>CUBIERTO>TENEDOR>,"TENEDOR 5"" TRAMONTINA DYNAMIC  (X3)",1,760,575.35,Publish,691
6053,22302900,BAZAR>CUBIERTO>TENEDOR>,"TENEDOR 5"" TRAMONTINA DYNAMIC (X12)",5,2831,2301.38,Publish,2762
1445,1445,BAZAR>>>,TERMO BALA DE ALUMINIO DE 1LITRO HW50309,1,3234,2379.28,Draft,3165
3213,3213111,BAZAR>>>,TERMO TAPON DE GOMA BLANCA 1L BOCA GRANDE,0,491,316.73,Draft,422
1736,12329,BAZAR>TERMO>>,TERMO TAPON TERMO DE ACERO BOCA CHICA 1/2L,5,254,138.51,Publish,185
1520,7451,BAZAR>TERMO>>,TERMO TAPON TERMO DE ACERO BOCA GDE 1L,29,301,174.23,Publish,232
6522,77704432,CARRETILLAS>>>,CARRETILLA .50L ESTAMPADA R/NEUMÁTICA TRAMONTINA,0,7031,5234.32,Publish,6962
6526,77717431,CARRETILLAS>CARRETILLAS>>,CARRETILLA .55L PLASTICA R/NEUMATICA TRAMONTINA,5,9311,6948.58,Publish,9242
6524,77714235,CARRETILLAS>>>,CARRETILLA .65L CAJON R/MACIZA REFOR. TRAMONTINA,0,13507,10103.11,Publish,13438
6523,77714435,CARRETILLAS>>>,CARRETILLA .65L CAJON R/NEUM. REFOR. TRAMONTINA,3,13507,10103.11,Publish,13438
6475,3011,CARRETILLAS>>>,CARRETILLA .70L ESTAMPADA LINCE COMUN,11,7919,5901.75,Publish,7850
6574,3001,CARRETILLAS>>>,CARRETILLA .70L ESTAMPADA LINCE RUEDA MACIZA,0,9539,7891.07,Publish,9470
6525,3002,CARRETILLAS>>>,CARRETILLA .80L CAJON R/MACIZA REFOR. CAJON LINCE,0,18195,13627.94,Publish,18126
6476,3000,CARRETILLAS>>>,CARRETILLA .90L ESTAMPADA LINCE NEUMATICA,1,13616,10185.7,Publish,13547
6520,3346,CARRETILLAS>>>,CARRETILLA 100L R/NEUMATICA ELEVACION LINCE,0,24489,18360.54,Publish,24420
6521,3347,CARRETILLAS>>>,CARRETILLA 140L R/NEUMATICA PARA HORMIGONERA,0,36691,27534.68,Publish,36622
247,PVC/E/AC,CLIMATIZACION>CALEFONES>EQUIPOS>,CALEFON ELECTRICO DE ACERO INOXIDABLE,2,4814,3567.04,Publish,4745
462,PVC/E/AL,CLIMATIZACION>CALEFONES>EQUIPOS>,CALEFON ELECTRICO DE LOZA O.C.,2,3481,2565.38,Publish,3412
2323,01.02.13.01,CLIMATIZACION>CALEFONES>EQUIPOS>,CALEFON ELECTRICO DE PVC 20 LTS DILUVIO,1212,1438,1140.56,Publish,1369
